in s,C1 in V
-7.0339940E-01,1.4112E+00
-7.0333252E-01,1.4751E+00
-7.0326564E-01,1.4432E+00
-7.0319876E-01,1.4325E+00
-7.0313188E-01,1.4645E+00
-7.0306500E-01,1.4645E+00
-7.0299812E-01,1.4219E+00
-7.0293124E-01,1.4432E+00
-7.0286436E-01,1.4325E+00
-7.0279748E-01,1.4112E+00
-7.0273060E-01,1.4432E+00
-7.0266372E-01,1.3793E+00
-7.0259684E-01,1.4538E+00
-7.0252996E-01,1.4432E+00
-7.0246308E-01,1.4432E+00
-7.0239620E-01,1.4432E+00
-7.0232932E-01,1.4325E+00
-7.0226244E-01,1.4858E+00
-7.0219556E-01,1.4112E+00
-7.0212868E-01,1.4432E+00
-7.0206180E-01,1.4112E+00
-7.0199492E-01,1.4432E+00
-7.0192804E-01,1.4325E+00
-7.0186116E-01,1.4645E+00
-7.0179428E-01,1.4112E+00
-7.0172740E-01,1.4219E+00
-7.0166052E-01,1.4112E+00
-7.0159364E-01,1.4325E+00
-7.0152676E-01,1.4325E+00
-7.0145988E-01,1.4325E+00
-7.0139300E-01,1.4325E+00
-7.0132612E-01,1.4645E+00
-7.0125924E-01,1.4645E+00
-7.0119236E-01,1.4645E+00
-7.0112548E-01,1.4538E+00
-7.0105860E-01,1.4432E+00
-7.0099172E-01,1.4432E+00
-7.0092484E-01,1.4112E+00
-7.0085796E-01,1.4432E+00
-7.0079108E-01,1.4645E+00
-7.0072420E-01,1.4432E+00
-7.0065732E-01,1.4538E+00
-7.0059044E-01,1.4432E+00
-7.0052356E-01,1.4645E+00
-7.0045668E-01,1.4325E+00
-7.0038980E-01,1.4432E+00
-7.0032292E-01,1.4432E+00
-7.0025604E-01,1.4538E+00
-7.0018916E-01,1.4538E+00
-7.0012228E-01,1.4432E+00
-7.0005540E-01,1.4538E+00
-6.9998852E-01,1.4432E+00
-6.9992164E-01,1.4538E+00
-6.9985476E-01,1.4432E+00
-6.9978788E-01,1.4538E+00
-6.9972100E-01,1.4751E+00
-6.9965412E-01,1.4751E+00
-6.9958724E-01,1.4645E+00
-6.9952036E-01,1.4432E+00
-6.9945348E-01,1.4432E+00
-6.9938660E-01,1.4645E+00
-6.9931972E-01,1.4538E+00
-6.9925284E-01,1.4432E+00
-6.9918596E-01,1.4538E+00
-6.9911908E-01,1.4432E+00
-6.9905220E-01,1.4432E+00
-6.9898532E-01,1.4325E+00
-6.9891844E-01,1.4538E+00
-6.9885156E-01,1.4432E+00
-6.9878468E-01,1.4432E+00
-6.9871780E-01,1.4219E+00
-6.9865092E-01,1.4645E+00
-6.9858404E-01,1.4645E+00
-6.9851716E-01,1.4432E+00
-6.9845028E-01,1.4538E+00
-6.9838340E-01,1.4112E+00
-6.9831652E-01,1.4538E+00
-6.9824964E-01,1.4645E+00
-6.9818276E-01,1.4432E+00
-6.9811588E-01,1.4432E+00
-6.9804900E-01,1.4325E+00
-6.9798212E-01,1.4219E+00
-6.9791524E-01,1.4645E+00
-6.9784836E-01,1.4432E+00
-6.9778148E-01,1.4538E+00
-6.9771460E-01,1.4538E+00
-6.9764772E-01,1.4432E+00
-6.9758084E-01,1.4432E+00
-6.9751396E-01,1.4751E+00
-6.9744708E-01,1.4538E+00
-6.9738020E-01,1.4538E+00
-6.9731332E-01,1.4325E+00
-6.9724644E-01,1.4432E+00
-6.9717956E-01,1.4432E+00
-6.9711268E-01,1.4538E+00
-6.9704580E-01,1.4645E+00
-6.9697892E-01,1.4219E+00
-6.9691204E-01,1.4645E+00
-6.9684516E-01,1.4432E+00
-6.9677828E-01,1.4751E+00
-6.9671140E-01,1.4432E+00
-6.9664452E-01,1.4751E+00
-6.9657764E-01,1.4325E+00
-6.9651076E-01,1.4751E+00
-6.9644388E-01,1.4432E+00
-6.9637700E-01,1.4432E+00
-6.9631012E-01,1.5070E+00
-6.9624324E-01,1.4645E+00
-6.9617636E-01,1.4325E+00
-6.9610948E-01,1.4538E+00
-6.9604260E-01,1.4538E+00
-6.9597572E-01,1.4538E+00
-6.9590884E-01,1.4432E+00
-6.9584196E-01,1.4858E+00
-6.9577508E-01,1.4538E+00
-6.9570820E-01,1.4432E+00
-6.9564132E-01,1.4538E+00
-6.9557444E-01,1.4645E+00
-6.9550756E-01,1.4751E+00
-6.9544068E-01,1.4432E+00
-6.9537380E-01,1.4432E+00
-6.9530692E-01,1.4538E+00
-6.9524004E-01,1.4432E+00
-6.9517316E-01,1.4645E+00
-6.9510628E-01,1.4432E+00
-6.9503940E-01,1.4432E+00
-6.9497252E-01,1.4751E+00
-6.9490564E-01,1.4538E+00
-6.9483876E-01,1.4432E+00
-6.9477188E-01,1.4219E+00
-6.9470500E-01,1.4645E+00
-6.9463812E-01,1.4432E+00
-6.9457124E-01,1.4751E+00
-6.9450436E-01,1.4432E+00
-6.9443748E-01,1.4645E+00
-6.9437060E-01,1.4432E+00
-6.9430372E-01,1.4645E+00
-6.9423684E-01,1.4538E+00
-6.9416996E-01,1.4538E+00
-6.9410308E-01,1.4112E+00
-6.9403620E-01,1.4538E+00
-6.9396932E-01,1.4112E+00
-6.9390244E-01,1.4432E+00
-6.9383556E-01,1.4432E+00
-6.9376868E-01,1.4645E+00
-6.9370180E-01,1.4538E+00
-6.9363492E-01,1.4538E+00
-6.9356804E-01,1.4538E+00
-6.9350116E-01,1.4538E+00
-6.9343428E-01,1.4751E+00
-6.9336740E-01,1.4538E+00
-6.9330052E-01,1.4325E+00
-6.9323364E-01,1.4432E+00
-6.9316676E-01,1.4219E+00
-6.9309988E-01,1.4645E+00
-6.9303300E-01,1.4645E+00
-6.9296612E-01,1.4645E+00
-6.9289924E-01,1.4858E+00
-6.9283236E-01,1.4538E+00
-6.9276548E-01,1.4645E+00
-6.9269860E-01,1.4432E+00
-6.9263172E-01,1.4645E+00
-6.9256484E-01,1.4645E+00
-6.9249796E-01,1.4538E+00
-6.9243108E-01,1.4538E+00
-6.9236420E-01,1.4751E+00
-6.9229732E-01,1.4645E+00
-6.9223044E-01,1.4645E+00
-6.9216356E-01,1.4751E+00
-6.9209668E-01,1.4325E+00
-6.9202980E-01,1.4432E+00
-6.9196292E-01,1.4538E+00
-6.9189604E-01,1.4432E+00
-6.9182916E-01,1.4325E+00
-6.9176228E-01,1.4645E+00
-6.9169540E-01,1.4325E+00
-6.9162852E-01,1.4645E+00
-6.9156164E-01,1.4538E+00
-6.9149476E-01,1.4538E+00
-6.9142788E-01,1.4645E+00
-6.9136100E-01,1.4325E+00
-6.9129412E-01,1.4538E+00
-6.9122724E-01,1.4751E+00
-6.9116036E-01,1.4538E+00
-6.9109348E-01,1.4645E+00
-6.9102660E-01,1.4645E+00
-6.9095972E-01,1.4538E+00
-6.9089284E-01,1.4645E+00
-6.9082596E-01,1.4645E+00
-6.9075908E-01,1.4432E+00
-6.9069220E-01,1.4751E+00
-6.9062532E-01,1.4112E+00
-6.9055844E-01,1.4325E+00
-6.9049156E-01,1.4538E+00
-6.9042468E-01,1.4645E+00
-6.9035780E-01,1.4645E+00
-6.9029092E-01,1.4538E+00
-6.9022404E-01,1.4538E+00
-6.9015716E-01,1.4858E+00
-6.9009028E-01,1.4538E+00
-6.9002340E-01,1.4751E+00
-6.8995652E-01,1.4325E+00
-6.8988964E-01,1.4645E+00
-6.8982276E-01,1.4538E+00
-6.8975588E-01,1.4751E+00
-6.8968900E-01,1.4645E+00
-6.8962212E-01,1.4538E+00
-6.8955524E-01,1.4751E+00
-6.8948836E-01,1.4645E+00
-6.8942148E-01,1.4432E+00
-6.8935460E-01,1.4538E+00
-6.8928772E-01,1.4432E+00
-6.8922084E-01,1.4538E+00
-6.8915396E-01,1.4538E+00
-6.8908708E-01,1.4751E+00
-6.8902020E-01,1.4645E+00
-6.8895332E-01,1.4538E+00
-6.8888644E-01,1.4751E+00
-6.8881956E-01,1.4964E+00
-6.8875268E-01,1.4645E+00
-6.8868580E-01,1.4538E+00
-6.8861892E-01,1.4751E+00
-6.8855204E-01,1.4538E+00
-6.8848516E-01,1.4432E+00
-6.8841828E-01,1.4538E+00
-6.8835140E-01,1.4645E+00
-6.8828452E-01,1.4219E+00
-6.8821764E-01,1.4751E+00
-6.8815076E-01,1.4432E+00
-6.8808388E-01,1.4751E+00
-6.8801700E-01,1.4645E+00
-6.8795012E-01,1.4538E+00
-6.8788324E-01,1.4645E+00
-6.8781636E-01,1.4432E+00
-6.8774948E-01,1.4751E+00
-6.8768260E-01,1.4645E+00
-6.8761572E-01,1.4858E+00
-6.8754884E-01,1.4538E+00
-6.8748196E-01,1.4645E+00
-6.8741508E-01,1.4538E+00
-6.8734820E-01,1.4538E+00
-6.8728132E-01,1.4858E+00
-6.8721444E-01,1.4219E+00
-6.8714756E-01,1.4538E+00
-6.8708068E-01,1.4538E+00
-6.8701380E-01,1.4645E+00
-6.8694692E-01,1.4432E+00
-6.8688004E-01,1.4751E+00
-6.8681316E-01,1.4219E+00
-6.8674628E-01,1.4538E+00
-6.8667940E-01,1.4751E+00
-6.8661252E-01,1.4432E+00
-6.8654564E-01,1.4751E+00
-6.8647876E-01,1.4432E+00
-6.8641188E-01,1.4645E+00
-6.8634500E-01,1.4858E+00
-6.8627812E-01,1.4432E+00
-6.8621124E-01,1.4645E+00
-6.8614436E-01,1.4538E+00
-6.8607748E-01,1.4645E+00
-6.8601060E-01,1.4538E+00
-6.8594372E-01,1.4538E+00
-6.8587684E-01,1.4325E+00
-6.8580996E-01,1.4538E+00
-6.8574308E-01,1.4432E+00
-6.8567620E-01,1.4964E+00
-6.8560932E-01,1.4645E+00
-6.8554244E-01,1.4219E+00
-6.8547556E-01,1.4538E+00
-6.8540868E-01,1.4858E+00
-6.8534180E-01,1.4432E+00
-6.8527492E-01,1.4325E+00
-6.8520804E-01,1.4538E+00
-6.8514116E-01,1.4432E+00
-6.8507428E-01,1.4432E+00
-6.8500740E-01,1.4645E+00
-6.8494052E-01,1.4112E+00
-6.8487364E-01,1.4538E+00
-6.8480676E-01,1.4432E+00
-6.8473988E-01,1.4432E+00
-6.8467300E-01,1.4432E+00
-6.8460612E-01,1.4751E+00
-6.8453924E-01,1.4538E+00
-6.8447236E-01,1.4432E+00
-6.8440548E-01,1.4538E+00
-6.8433860E-01,1.4538E+00
-6.8427172E-01,1.4325E+00
-6.8420484E-01,1.4645E+00
-6.8413796E-01,1.4858E+00
-6.8407108E-01,1.4112E+00
-6.8400420E-01,1.4112E+00
-6.8393732E-01,1.4432E+00
-6.8387044E-01,1.4645E+00
-6.8380356E-01,1.4538E+00
-6.8373668E-01,1.4538E+00
-6.8366980E-01,1.4538E+00
-6.8360292E-01,1.4645E+00
-6.8353604E-01,1.4219E+00
-6.8346916E-01,1.4432E+00
-6.8340228E-01,1.4432E+00
-6.8333540E-01,1.4538E+00
-6.8326852E-01,1.4112E+00
-6.8320164E-01,1.4432E+00
-6.8313476E-01,1.4538E+00
-6.8306788E-01,1.4645E+00
-6.8300100E-01,1.4645E+00
-6.8293412E-01,1.4645E+00
-6.8286724E-01,1.4751E+00
-6.8280036E-01,1.4538E+00
-6.8273348E-01,1.4645E+00
-6.8266660E-01,1.4645E+00
-6.8259972E-01,1.4538E+00
-6.8253284E-01,1.4645E+00
-6.8246596E-01,1.4538E+00
-6.8239908E-01,1.4645E+00
-6.8233220E-01,1.4645E+00
-6.8226532E-01,1.4219E+00
-6.8219844E-01,1.4645E+00
-6.8213156E-01,1.4751E+00
-6.8206468E-01,1.4645E+00
-6.8199780E-01,1.4645E+00
-6.8193092E-01,1.4645E+00
-6.8186404E-01,1.4751E+00
-6.8179716E-01,1.4645E+00
-6.8173028E-01,1.4325E+00
-6.8166340E-01,1.4538E+00
-6.8159652E-01,1.4538E+00
-6.8152964E-01,1.4538E+00
-6.8146276E-01,1.4538E+00
-6.8139588E-01,1.4538E+00
-6.8132900E-01,1.4538E+00
-6.8126212E-01,1.4645E+00
-6.8119524E-01,1.4645E+00
-6.8112836E-01,1.4751E+00
-6.8106148E-01,1.4751E+00
-6.8099460E-01,1.4538E+00
-6.8092772E-01,1.4538E+00
-6.8086084E-01,1.4645E+00
-6.8079396E-01,1.4751E+00
-6.8072708E-01,1.4858E+00
-6.8066020E-01,1.4538E+00
-6.8059332E-01,1.4538E+00
-6.8052644E-01,1.4219E+00
-6.8045956E-01,1.4645E+00
-6.8039268E-01,1.4751E+00
-6.8032580E-01,1.4645E+00
-6.8025892E-01,1.4751E+00
-6.8019204E-01,1.4858E+00
-6.8012516E-01,1.4751E+00
-6.8005828E-01,1.4538E+00
-6.7999140E-01,1.4538E+00
-6.7992452E-01,1.4432E+00
-6.7985764E-01,1.4645E+00
-6.7979076E-01,1.4645E+00
-6.7972388E-01,1.4645E+00
-6.7965700E-01,1.4432E+00
-6.7959012E-01,1.4964E+00
-6.7952324E-01,1.4325E+00
-6.7945636E-01,1.4964E+00
-6.7938948E-01,1.4858E+00
-6.7932260E-01,1.4538E+00
-6.7925572E-01,1.4432E+00
-6.7918884E-01,1.4751E+00
-6.7912196E-01,1.4538E+00
-6.7905508E-01,1.4858E+00
-6.7898820E-01,1.4751E+00
-6.7892132E-01,1.4645E+00
-6.7885444E-01,1.4645E+00
-6.7878756E-01,1.4645E+00
-6.7872068E-01,1.4645E+00
-6.7865380E-01,1.4432E+00
-6.7858692E-01,1.4751E+00
-6.7852004E-01,1.4538E+00
-6.7845316E-01,1.4645E+00
-6.7838628E-01,1.4645E+00
-6.7831940E-01,1.4858E+00
-6.7825252E-01,1.4538E+00
-6.7818564E-01,1.4325E+00
-6.7811876E-01,1.4538E+00
-6.7805188E-01,1.4751E+00
-6.7798500E-01,1.4645E+00
-6.7791812E-01,1.4538E+00
-6.7785124E-01,1.4858E+00
-6.7778436E-01,1.4538E+00
-6.7771748E-01,1.4751E+00
-6.7765060E-01,1.4538E+00
-6.7758372E-01,1.4538E+00
-6.7751684E-01,1.4538E+00
-6.7744996E-01,1.4645E+00
-6.7738308E-01,1.4432E+00
-6.7731620E-01,1.4645E+00
-6.7724932E-01,1.4538E+00
-6.7718244E-01,1.4219E+00
-6.7711556E-01,1.4751E+00
-6.7704868E-01,1.4645E+00
-6.7698180E-01,1.4751E+00
-6.7691492E-01,1.4538E+00
-6.7684804E-01,1.4645E+00
-6.7678116E-01,1.4538E+00
-6.7671428E-01,1.4645E+00
-6.7664740E-01,1.4432E+00
-6.7658052E-01,1.4432E+00
-6.7651364E-01,1.4645E+00
-6.7644676E-01,1.4538E+00
-6.7637988E-01,1.4645E+00
-6.7631300E-01,1.4538E+00
-6.7624612E-01,1.4325E+00
-6.7617924E-01,1.4219E+00
-6.7611236E-01,1.4751E+00
-6.7604548E-01,1.4325E+00
-6.7597860E-01,1.4538E+00
-6.7591172E-01,1.4432E+00
-6.7584484E-01,1.4751E+00
-6.7577796E-01,1.4432E+00
-6.7571108E-01,1.4858E+00
-6.7564420E-01,1.4538E+00
-6.7557732E-01,1.4538E+00
-6.7551044E-01,1.4432E+00
-6.7544356E-01,1.4645E+00
-6.7537668E-01,1.4858E+00
-6.7530980E-01,1.4432E+00
-6.7524292E-01,1.4538E+00
-6.7517604E-01,1.4645E+00
-6.7510916E-01,1.4538E+00
-6.7504228E-01,1.4645E+00
-6.7497540E-01,1.4751E+00
-6.7490852E-01,1.4645E+00
-6.7484164E-01,1.4538E+00
-6.7477476E-01,1.4432E+00
-6.7470788E-01,1.4325E+00
-6.7464100E-01,1.4751E+00
-6.7457412E-01,1.4432E+00
-6.7450724E-01,1.4751E+00
-6.7444036E-01,1.4219E+00
-6.7437348E-01,1.4751E+00
-6.7430660E-01,1.4432E+00
-6.7423972E-01,1.4538E+00
-6.7417284E-01,1.4432E+00
-6.7410596E-01,1.4538E+00
-6.7403908E-01,1.4751E+00
-6.7397220E-01,1.4219E+00
-6.7390532E-01,1.4538E+00
-6.7383844E-01,1.4645E+00
-6.7377156E-01,1.4219E+00
-6.7370468E-01,1.4538E+00
-6.7363780E-01,1.4538E+00
-6.7357092E-01,1.4112E+00
-6.7350404E-01,1.4858E+00
-6.7343716E-01,1.4325E+00
-6.7337028E-01,1.4112E+00
-6.7330340E-01,1.4432E+00
-6.7323652E-01,1.4325E+00
-6.7316964E-01,1.4432E+00
-6.7310276E-01,1.4219E+00
-6.7303588E-01,1.4432E+00
-6.7296900E-01,1.4219E+00
-6.7290212E-01,1.4538E+00
-6.7283524E-01,1.4432E+00
-6.7276836E-01,1.4432E+00
-6.7270148E-01,1.4325E+00
-6.7263460E-01,1.4538E+00
-6.7256772E-01,1.4645E+00
-6.7250084E-01,1.4325E+00
-6.7243396E-01,1.4325E+00
-6.7236708E-01,1.4538E+00
-6.7230020E-01,1.4219E+00
-6.7223332E-01,1.4645E+00
-6.7216644E-01,1.4538E+00
-6.7209956E-01,1.4325E+00
-6.7203268E-01,1.4538E+00
-6.7196580E-01,1.4645E+00
-6.7189892E-01,1.4432E+00
-6.7183204E-01,1.4325E+00
-6.7176516E-01,1.4006E+00
-6.7169828E-01,1.4432E+00
-6.7163140E-01,1.4432E+00
-6.7156452E-01,1.4432E+00
-6.7149764E-01,1.4219E+00
-6.7143076E-01,1.4325E+00
-6.7136388E-01,1.4219E+00
-6.7129700E-01,1.4645E+00
-6.7123012E-01,1.4432E+00
-6.7116324E-01,1.4112E+00
-6.7109636E-01,1.4112E+00
-6.7102948E-01,1.4432E+00
-6.7096260E-01,1.4325E+00
-6.7089572E-01,1.3900E+00
-6.7082884E-01,1.4538E+00
-6.7076196E-01,1.4432E+00
-6.7069508E-01,1.4325E+00
-6.7062820E-01,1.4325E+00
-6.7056132E-01,1.3900E+00
-6.7049444E-01,1.4112E+00
-6.7042756E-01,1.4325E+00
-6.7036068E-01,1.4325E+00
-6.7029380E-01,1.4112E+00
-6.7022692E-01,1.4432E+00
-6.7016004E-01,1.4325E+00
-6.7009316E-01,1.4538E+00
-6.7002628E-01,1.4325E+00
-6.6995940E-01,1.4219E+00
-6.6989252E-01,1.4645E+00
-6.6982564E-01,1.4325E+00
-6.6975876E-01,1.4219E+00
-6.6969188E-01,1.4219E+00
-6.6962500E-01,1.4112E+00
-6.6955812E-01,1.4219E+00
-6.6949124E-01,1.4432E+00
-6.6942436E-01,1.4219E+00
-6.6935748E-01,1.3900E+00
-6.6929060E-01,1.4112E+00
-6.6922372E-01,1.4219E+00
-6.6915684E-01,1.4112E+00
-6.6908996E-01,1.4432E+00
-6.6902308E-01,1.4112E+00
-6.6895620E-01,1.4219E+00
-6.6888932E-01,1.4432E+00
-6.6882244E-01,1.4325E+00
-6.6875556E-01,1.4006E+00
-6.6868868E-01,1.4432E+00
-6.6862180E-01,1.4325E+00
-6.6855492E-01,1.4112E+00
-6.6848804E-01,1.4325E+00
-6.6842116E-01,1.4432E+00
-6.6835428E-01,1.4219E+00
-6.6828740E-01,1.4219E+00
-6.6822052E-01,1.4219E+00
-6.6815364E-01,1.4219E+00
-6.6808676E-01,1.4325E+00
-6.6801988E-01,1.3793E+00
-6.6795300E-01,1.4112E+00
-6.6788612E-01,1.4538E+00
-6.6781924E-01,1.3793E+00
-6.6775236E-01,1.4432E+00
-6.6768548E-01,1.4112E+00
-6.6761860E-01,1.4432E+00
-6.6755172E-01,1.4645E+00
-6.6748484E-01,1.4112E+00
-6.6741796E-01,1.4325E+00
-6.6735108E-01,1.4219E+00
-6.6728420E-01,1.4325E+00
-6.6721732E-01,1.4432E+00
-6.6715044E-01,1.4432E+00
-6.6708356E-01,1.4432E+00
-6.6701668E-01,1.4325E+00
-6.6694980E-01,1.4432E+00
-6.6688292E-01,1.3900E+00
-6.6681604E-01,1.4432E+00
-6.6674916E-01,1.4325E+00
-6.6668228E-01,1.4538E+00
-6.6661540E-01,1.4112E+00
-6.6654852E-01,1.4325E+00
-6.6648164E-01,1.4645E+00
-6.6641476E-01,1.4325E+00
-6.6634788E-01,1.4432E+00
-6.6628100E-01,1.4645E+00
-6.6621412E-01,1.4432E+00
-6.6614724E-01,1.4325E+00
-6.6608036E-01,1.4325E+00
-6.6601348E-01,1.4645E+00
-6.6594660E-01,1.4432E+00
-6.6587972E-01,1.4219E+00
-6.6581284E-01,1.4219E+00
-6.6574596E-01,1.4325E+00
-6.6567908E-01,1.4112E+00
-6.6561220E-01,1.4219E+00
-6.6554532E-01,1.4325E+00
-6.6547844E-01,1.4325E+00
-6.6541156E-01,1.4112E+00
-6.6534468E-01,1.4112E+00
-6.6527780E-01,1.4645E+00
-6.6521092E-01,1.4006E+00
-6.6514404E-01,1.4432E+00
-6.6507716E-01,1.4006E+00
-6.6501028E-01,1.4219E+00
-6.6494340E-01,1.4219E+00
-6.6487652E-01,1.4112E+00
-6.6480964E-01,1.4006E+00
-6.6474276E-01,1.4325E+00
-6.6467588E-01,1.4112E+00
-6.6460900E-01,1.4112E+00
-6.6454212E-01,1.4112E+00
-6.6447524E-01,1.4538E+00
-6.6440836E-01,1.4325E+00
-6.6434148E-01,1.4219E+00
-6.6427460E-01,1.4432E+00
-6.6420772E-01,1.4219E+00
-6.6414084E-01,1.4112E+00
-6.6407396E-01,1.4219E+00
-6.6400708E-01,1.4219E+00
-6.6394020E-01,1.4006E+00
-6.6387332E-01,1.4432E+00
